fighter,rating,rd,volatility,last_fight,peak_rating
Mizuki,1517.8449507720554,315.0,498996480.89124817,2023-09-23,1520.3681889199806
Royston Wee,1517.7659489437324,299.07043969203016,592968834.4634509,2015-05-16,1538.8499774443092
Joe Stevenson,1517.6262387695567,98.61505752545091,0.01,2011-06-26,1610.2280353437573
JeongYeong Lee,1517.6212596424696,295.3125,569336963.4161588,2024-07-27,1538.5939569848874
Brad Blackburn,1517.2525189417058,238.12699520689685,357211654.4076665,2010-04-10,1561.456895138813
Bill Algeo,1517.227095806671,170.51363411333207,0.01,2024-07-27,1561.9194206302955
Paul Buentello,1516.8545522312324,287.333229032512,0.01,2010-03-21,1556.64093250408
Tatsuya Kawajiri,1516.8426039164403,249.9653757897986,0.01,2016-08-06,1550.7053435136718
Jose Quinonez,1516.6885727456786,274.6815269266736,504133172.4568946,2020-12-05,1563.7398866580252
Josiane Nunes,1516.6465364135704,295.3125,581976171.4860601,2024-09-07,1561.04387337276
Nikolas Motta,1516.5779640555834,283.19303276319295,0.01,2024-01-13,1516.5779640555834
Abus Magomedov,1516.5583855961484,276.2229730641997,0.01,2024-06-01,1523.3071640490039
Luis Saldana,1516.5320807948688,277.910479671768,406031946.4686696,2022-03-26,1518.5184268551138
Chris Leben,1516.3799419801244,77.93109986575935,0.01,2013-12-28,1611.7221603801395
Sedriques Dumas,1516.31762154072,226.97076631020562,196225885.76090163,2024-08-10,1518.430858185196
Gan McGee,1516.2471498124328,279.08882767579684,0.01,2003-09-26,1535.0754207781702
Yazmin Jauregui,1516.1830687111885,254.75252289318877,435751884.96827626,2024-09-28,1541.486006106859
Molly McCann,1515.8401970812413,163.59635767074704,125920573.32114768,2024-08-03,1562.464655000381
Marcio Cruz,1515.81862969963,256.7995794334783,0.01,2006-12-30,1555.1014725255307
Erik Koch,1515.7004797622378,315.0,0.01,2019-07-27,1544.712196731638
Joe Charles,1515.6340435476359,315.0,0.01,1997-12-21,1534.4605219450527
Amir Sadollah,1515.3294425646461,245.9068564132474,484751056.92960954,2014-09-20,1566.52700872153
Yana Santos,1515.1423548629841,304.57024728283085,0.01,2024-08-17,1550.8779126526329
Liz Carmouche,1515.1017202687633,270.6794762197354,0.01,2019-08-10,1530.8457155354724
Alessandro Costa,1514.995169485067,258.1803548507033,0.01,2024-05-11,1514.995169485067
Paul Varelans,1514.8921607767554,171.80876908539983,0.01,1996-12-07,1538.5991077998465
Zak Ottow,1514.7609211692925,179.2987252037802,0.01,2019-03-09,1534.5045583900937
Tanner Boser,1514.6804411464511,186.4752365806825,0.01,2023-08-05,1548.253007883915
Mohammed Usman,1514.4170797268016,248.1548382814737,450439046.6949889,2024-07-27,1558.7971515091212
Michael Page,1514.367762854168,289.6837348299003,0.01,2024-07-13,1527.3617008146766
Charles Jourdain,1514.1245332587443,139.60933383371002,58136949.61352739,2024-07-13,1554.6868051533472
Tomasz Drwal,1514.0342513639591,235.37769537185403,0.01,2010-09-15,1557.5900441194644
Viktoriia Dudakova,1513.9965538164945,287.8995641312348,659586670.2462848,2024-08-10,1537.2742273534357
Falaniko Vitale,1513.3228147122109,294.4035230767458,0.01,2003-11-21,1530.7112200416382
Chris Barnett,1513.309905554035,254.2049663509763,0.01,2022-09-10,1513.309905554035
Kyle Nelson,1513.224802169733,254.32391556789932,253302255.22881114,2024-09-14,1530.1264749275745
Rony Jason,1512.9574685087537,301.47166294073145,0.01,2017-03-11,1572.4685691369707
Cole Miller,1512.935542029638,135.70376589520623,72725563.22242351,2016-12-17,1593.3011306618737
