fighter,peak_rating
Vanessa Demopoulos,1559.340688361065
Tyson Pedro,1559.103592010097
Akira Corassani,1559.0206315605312
Marcus Brimage,1558.990598842031
Rinya Nakamura,1558.8320626831082
Mohammed Usman,1558.7971515091212
Paul Daley,1558.7939637903546
Jaqueline Amorim,1558.752513811705
Jacqueline Cavalcanti,1558.624492755391
Davey Grant,1558.5569125086824
Jeremy Kennedy,1558.5525520803071
Vitor Miranda,1558.3571806470786
Bartosz Fabinski,1558.3510958903519
Pete Williams,1558.3109603140767
Manel Kape,1558.2541334817354
Joshua Van,1558.212474122552
Greg Hardy,1557.9222793210486
Phil Rowe,1557.9046583850236
Josh Thomson,1557.9004970020771
Sara McMann,1557.6416176462978
Tomasz Drwal,1557.5900441194644
John Castaneda,1557.5267669913299
Lucas Martins,1557.4510070698764
Magomed Mustafaev,1557.3131641461428
Nick Hein,1557.2380141207725
Hector Lombard,1557.0610923210077
Valerie Letourneau,1557.0424760669137
Andre Lima,1556.8200786317345
TJ Waldburger,1556.780526503734
Paul Buentello,1556.64093250408
David Onama,1556.3452321246375
Lorenz Larkin,1556.2443900326357
Youssef Zalal,1556.2253458317286
Terrance McKinney,1555.779076782666
Todd Duffee,1555.7005703657
Soa Palelei,1555.695987027581
Karl Roberson,1555.678593989385
Jeff Monson,1555.3288559158502
Patrick Cummins,1555.2498568699116
Brunno Ferreira,1555.235379291478
Ivan Menjivar,1555.2206662896128
Marcio Cruz,1555.1014725255307
Walt Harris,1554.9223604772287
Charles Jourdain,1554.6868051533472
Gabriel Bonfim,1554.4887615499267
Philipe Lins,1554.2299942206503
Karl Williams,1554.2137247334304
Khama Worthy,1554.0894793455204
Luis Pena,1553.9008250582708
Julio Arce,1553.885883647316
Ikram Aliskerov,1553.6353885783117
Ian Freeman,1553.4519014477848
Luana Pinheiro,1553.3685609349825
Luiz Cane,1553.1905441493493
Jordan Leavitt,1553.0210886186344
Herbert Burns,1552.89251868602
Eryk Anders,1552.8484843488
Kayla Harrison,1552.6442802023207
Mark Hall,1552.5254723058042
Houston Alexander,1552.328832295473
Aleksei Kunchenko,1552.0339096293997
Daniel Roberts,1551.965170668372
Nick Osipczak,1551.894689457009
Gadzhimurad Antigulov,1551.76672198208
Eddie Sanchez,1551.7294300654867
Kevin Burns,1551.623715527633
Felipe Arantes,1551.4952292687642
