Fighter,Peak Elo
Tyson Nam,1174.95
Felipe Arantes,1174.88
Sheymon Moraes,1174.88
Shane Nelson,1173.74
Adam Wieczorek,1173.15
Piera Rodriguez,1172.97
Tanner Boser,1172.36
Jacob Malkoun,1172.31
Trevin Jones,1172.27
Christian Leroy Duncan,1172.24
Lone'er Kavanagh,1172.09
Royston Wee,1171.99
Zhang Lipeng,1171.99
Nad Narimani,1171.99
Josefine Knutsson,1171.99
Ryan Jimmo,1171.94
Mounir Lazzez,1171.86
Joe Charles,1171.79
Jessica-Rose Clark,1171.43
Ronnie Lawrence,1170.95
Jutaro Nakao,1170.48
Brian Johnston,1170.41
Jake Hecht,1169.43
Jesus Aguilar,1169.07
Neil Seery,1168.97
Liz Carmouche,1168.26
Antonina Shevchenko,1167.88
