event,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Perez vs. Taira,Melquizael Costa,Shayilan Nuerdanbieke,win,"SUB

      

        Rear Naked Choke",3,1:50
UFC Fight Night: Perez vs. Taira,Josefine Knutsson,Julia Polastri,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Nassourdine Imavov,Jared Cannonier,win,"KO/TKO

      

        Punches",4,1:34
UFC Fight Night: Cannonier vs. Imavov,Dominick Reyes,Dustin Jacoby,win,"KO/TKO

      

        Punches",1,2:00
UFC Fight Night: Cannonier vs. Imavov,Raul Rosas Jr.,Ricky Turcios,win,"SUB

      

        Rear Naked Choke",2,2:22
UFC Fight Night: Cannonier vs. Imavov,Brunno Ferreira,Dustin Stoltzfus,win,"KO/TKO

      

        Spinning Back Elbow",1,4:51
UFC Fight Night: Cannonier vs. Imavov,Zachary Reese,Julian Marquez,win,"KO/TKO

      

        Punch",1,0:20
UFC Fight Night: Cannonier vs. Imavov,Punahele Soriano,Miguel Baeza,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Ludovit Klein,Thiago Moises,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Carlos Prates,Charles Radtke,win,"KO/TKO

      

        Knee",1,4:47
UFC Fight Night: Cannonier vs. Imavov,Brad Katona,Jesse Butler,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Montana De La Rosa,Andrea Lee,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Daniel Marcos,John Castaneda,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Denise Gomes,Eduarda Moura,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Taylor Lapilus,Cody Stamann,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,Puja Tomar,Rayanne dos Santos,win,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Islam Makhachev,Dustin Poirier,win,"SUB

      

        D'Arce Choke",5,2:42
UFC 302: Makhachev vs. Poirier,Sean Strickland,Paulo Costa,win,S-DEC,5,5:00
UFC 302: Makhachev vs. Poirier,Kevin Holland,Michal Oleksiejczuk,win,"SUB

      

        Armbar",1,1:34
UFC 302: Makhachev vs. Poirier,Niko Price,Alex Morono,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Randy Brown,Elizeu Zaleski dos Santos,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Roman Kopylov,Cesar Almeida,win,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Jailton Almeida,Alexandr Romanov,win,"SUB

      

        Rear Naked Choke",1,2:27
UFC 302: Makhachev vs. Poirier,Grant Dawson,Joe Solecki,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Jake Matthews,Phil Rowe,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Bassil Hafez,Mickey Gall,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Ailin Perez,Joselyne Edwards,win,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,Andre Lima,Mitch Raposo,win,S-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,Lerone Murphy,Edson Barboza,win,U-DEC,5,5:00
UFC Fight Night: Barboza vs. Murphy,Khaos Williams,Carlston Harris,win,"KO/TKO

      

        Punch",1,1:30
UFC Fight Night: Barboza vs. Murphy,Themba Gorimbo,Ramiz Brahimaj,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,Adrian Yanez,Vinicius Salvador,win,"KO/TKO

      

        Punches",1,2:47
UFC Fight Night: Barboza vs. Murphy,Angela Hill,Luana Pinheiro,win,"SUB

      

        Guillotine Choke",2,4:12
UFC Fight Night: Barboza vs. Murphy,Tom Nolan,Victor Martinez,win,"KO/TKO

      

        Knee",1,3:50
UFC Fight Night: Barboza vs. Murphy,Oumar Sy,Tuco Tokkos,win,"SUB

      

        Rear Naked Choke",1,3:43
UFC Fight Night: Barboza vs. Murphy,Melissa Gatto,Tamires Vidal,win,"KO/TKO

      

        Punch",3,0:37
UFC Fight Night: Barboza vs. Murphy,Abus Magomedov,Warlley Alves,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,Ariane Carnelossi,Piera Rodriguez,win,DQ,2,3:16
UFC Fight Night: Barboza vs. Murphy,Alatengheili,Kleydson Rodrigues,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,Vanessa Demopoulos,Emily Ducote,win,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis,Rodrigo Nascimento,win,"KO/TKO

      

        Punch",3,0:49
UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley,Nursulton Ruziboev,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,Carlos Ulberg,Alonzo Menifield,win,"KO/TKO

      

        Punches",1,0:12
UFC Fight Night: Lewis vs. Nascimento,Diego Ferreira,Mateusz Rebecki,win,"KO/TKO

      

        Punches",3,4:51
UFC Fight Night: Lewis vs. Nascimento,Sean Woodson,Alex Caceres,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,Waldo Cortes-Acosta,Robelis Despaigne,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,Chase Hooper,Viacheslav Borshchev,win,"SUB

      

        D'Arce Choke",2,3:00
UFC Fight Night: Lewis vs. Nascimento,Esteban Ribovics,Terrance McKinney,win,"KO/TKO

      

        Kick",1,0:37
UFC Fight Night: Lewis vs. Nascimento,Tabatha Ricci,Tecia Pennington,win,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,Trey Waters,Billy Ray Goff,win,U-DEC,3,5:00
