Fighter,Peak Elo
Jesus Aguilar,1158.97
Mike Wilkinson,1158.85
Sam Sicilia,1158.54
Adam Wieczorek,1158.39
Eddie Sanchez,1157.39
Maiquel Falcao,1157.23
Elvis Sinosic,1156.88
Rogerio Bontorin,1155.8
Sijara Eubanks,1155.45
Anthony Perosh,1154.8
Brian Melancon,1154.8
Emil Meek,1154.67
Fernando Padilla,1153.84
Denise Gomes,1152.82
Tanner Boser,1152.65
Chris Padilla,1152.41
Luke Sanders,1152.16
Andrew Holbrook,1151.93
JeongYeong Lee,1151.61
Rodrigo Damm,1151.59
Eugene Jackson,1151.56
Darren Uyenoyama,1151.56
Megan Anderson,1151.37
Mark Godbeer,1151.15
Emily Whitmire,1151.04
Piotr Hallmann,1150.86
Bea Malecki,1150.86
Parker Porter,1150.84
Ryan Jimmo,1150.56
Trevor Prangley,1150.11
Yoshihiro Akiyama,1149.86
Luana Carolina,1148.96
Jason Day,1148.58
Mark Hall,1148.52
Jonathan Goulet,1148.45
Che Mills,1148.35
Rory Singer,1148.05
Brian Johnston,1148.01
