Fighter,Elo Rating
Rafael Estevam,1018.85
Puja Tomar,1018.85
Magomed Gadzhiyasulov,1018.85
Steve Jennum,1018.79
Tyrone Roberts,1018.79
Ron Waterman,1018.75
Jamal Pogues,1018.72
Elves Brener,1018.68
Marlon Moraes,1018.57
Fernando Padilla,1018.4
Caio Magalhaes,1018.24
Andre Roberts,1018.23
Brian Stann,1018.2
Michael Trizano,1018.17
Melissa Gatto,1018.15
Michael Chandler,1018.08
Wang Cong,1018.02
Christian Leroy Duncan,1018.01
Daniel Zellhuber,1018.0
Johnny Rhodes,1017.89
Tom Duquesnoy,1017.89
Abdul-Kerim Edilov,1017.83
Royston Wee,1017.77
Ronnie Lawrence,1017.74
Mark Hunt,1017.35
JeongYeong Lee,1017.3
Mike Kyle,1017.2
Tom Nolan,1017.14
Ronny Markes,1017.06
Mizuki,1017.0
Ibo Aslan,1016.92
Juan Espino,1016.88
Jake O'Brien,1016.85
Matt Serra,1016.83
Jordan Leavitt,1016.77
Aisling Daly,1016.7
Din Thomas,1016.57
Andrei Arlovski,1016.46
Gavin Tucker,1016.45
Tim Credeur,1016.42
Cody Stamann,1016.41
Ed Herman,1016.3
Scott Holtzman,1016.24
Luis Saldana,1016.21
Paddy Holohan,1016.06
Charles Radtke,1015.96
Kiichi Kunimoto,1015.94
Josh Samman,1015.83
Joaquim Silva,1015.82
Adam Wieczorek,1015.75
Robert Peralta,1015.73
Aleksei Oleinik,1015.73
Tim Elliott,1015.67
Edmen Shahbazyan,1015.45
Cory McKenna,1015.31
Kennedy Nzechukwu,1015.17
Sedriques Dumas,1015.12
Rich Attonito,1015.03
Matt Frevola,1014.82
Bea Malecki,1014.82
Aleksei Kunchenko,1014.69
Davey Grant,1014.6
Cameron Saaiman,1014.51
Paul Kelly,1014.45
Matt Wiman,1014.06
Mauricio Rua,1014.02
Elias Silverio,1013.94
Soa Palelei,1013.75
Montana De La Rosa,1013.2
Ben Nguyen,1013.12
Nick Diaz,1013.1
Brad Blackburn,1012.7
Tai Tuivasa,1012.58
Lyman Good,1012.47
Megan Anderson,1012.36
Josiane Nunes,1012.15
Paige VanZant,1012.0
Felicia Spencer,1011.89
Alan Patrick,1011.87
Yana Santos,1011.86
Terrance McKinney,1011.83
Gabriel Gonzaga,1011.8
Yazmin Jauregui,1011.44
Michael Page,1011.4
Brad Katona,1011.31
Wanderlei Silva,1011.14
Jose Quinonez,1011.11
Luana Pinheiro,1011.01
Liz Carmouche,1010.71
Trevin Giles,1010.53
Terry Etim,1010.47
Manny Bermudez,1010.42
Phil Rowe,1010.32
Rogerio Nogueira,1010.28
Marc Diakiese,1010.19
Chris Daukaus,1010.1
Julia Avila,1009.98
Mohammed Usman,1009.94
Abus Magomedov,1009.64
Cung Le,1009.5
Clint Hester,1009.42
Tatsuya Kawajiri,1009.29
Viktoriia Dudakova,1009.2
Steven Siler,1008.83
Tyson Pedro,1008.71
Eryk Anders,1008.14
Modestas Bukauskas,1008.08
Ildemar Alcantara,1007.68
Michael Johnson,1007.62
Falaniko Vitale,1007.55
Angela Hill,1007.38
Keith Hackney,1007.19
Diego Nunes,1007.14
Ismail Naurdiev,1007.03
Zak Ottow,1006.62
Jimi Manuwa,1006.57
Brandon Vera,1006.27
Chris Cariaso,1006.21
Melquizael Costa,1006.08
Bassil Hafez,1006.04
Sultan Aliev,1005.98
Gary Goodridge,1005.9
Amir Sadollah,1005.74
Bruna Brasil,1005.36
Rich Clementi,1005.31
Kendall Grove,1005.27
Antonio Carvalho,1005.15
Waylon Lowe,1005.13
Gan McGee,1005.12
Guram Kutateladze,1005.12
Siyar Bahadurzada,1005.01
Alessandro Costa,1004.85
Dennis Hallman,1004.8
Nikolas Motta,1004.76
Dave Beneteau,1004.71
Buddy Roberts,1004.71
Alex Garcia,1004.59
Amaury Bitetti,1004.37
Chance Rencountre,1004.3
Stefan Struve,1004.19
Bill Algeo,1004.17
Adam Fugitt,1004.17
Shinsho Anzai,1004.16
Mike van Arsdale,1004.0
Albert Duraev,1003.88
TJ Waldburger,1003.84
Marcio Cruz,1003.83
Clay Guida,1003.8
Lucas Almeida,1003.77
Justin Tafa,1003.54
Mounir Lazzez,1003.23
Mike Wilkinson,1003.14
Jimmy Crute,1003.03
Tony Kelley,1003.0
Thomas Petersen,1002.95
Mike Perry,1002.93
Antoni Hardonk,1002.61
Joe Charles,1002.6
Travis Fulton,1002.48
Brian Melancon,1002.32
Ryan Janes,1002.32
Nick Thompson,1002.31
Jonathan Meunier,1002.3
Mike Pyle,1002.29
Jason Saggo,1002.28
Geza Kalman,1002.23
Molly McCann,1002.18
Dwayne Cason,1002.1
Miguel Torres,1002.1
Daria Zhelezniakova,1002.05
Jutaro Nakao,1002.04
Hunter Azure,1002.04
Abubakar Nurmagomedov,1001.93
Dione Barbosa,1001.88
Chris Kelades,1001.75
Hector Sandoval,1001.66
Erik Koch,1001.63
Dan Christison,1001.61
Benito Lopez,1001.58
Nick Catone,1001.54
Pascal Krauss,1001.54
Viacheslav Borshchev,1001.54
Justin McCully,1001.32
Brianna Fortino,1001.32
Paul Buentello,1001.3
Joe Moreira,1001.28
Melissa Mullins,1001.27
Chelsea Chandler,1001.24
Tai Bowden,1001.15
Tereza Bleda,1001.15
Benji Radach,1001.09
Nick Sanzo,1001.08
John Lewis,1001.08
Lance Gibson,1001.08
Dan Cramer,1001.02
Dustin Hazelett,1000.97
Junie Browning,1000.97
Kyle Nelson,1000.97
Eddie Yagin,1000.95
Jose Torres,1000.91
Jesus Pinedo,1000.9
Lance Benoist,1000.84
Galore Bofando,1000.8
Noad Lahat,1000.77
Nate Marquardt,1000.75
Nicco Montano,1000.75
Chris Barnett,1000.74
