Fighter,Peak Elo
Kayla Harrison,1046.98
Mayra Bueno Silva,1046.95
Pannie Kianzad,1046.83
Marion Reneau,1046.64
Murilo Bustamante,1046.38
John Castaneda,1046.2
Alatengheili,1045.94
Alessio Sakara,1045.92
Charlie Brenneman,1045.89
Rich Clementi,1045.87
Jason MacDonald,1045.83
Siyar Bahadurzada,1045.82
Charles Johnson,1045.79
Josh Thomson,1045.78
Patrick Smith,1045.51
Nate Landwehr,1045.45
Gabriel Bonfim,1045.08
Philipe Lins,1044.98
Jeff Monson,1044.73
Felipe Arantes,1044.65
Luana Carolina,1044.64
Alex Garcia,1044.63
Kevin Aguilar,1044.55
Myktybek Orolbai,1044.52
Tatsuya Kawajiri,1044.48
Karl Roberson,1044.32
Douglas Silva de Andrade,1044.24
Roman Kopylov,1044.11
Esteban Ribovics,1044.07
Marcio Cruz,1044.04
Paul Kelly,1044.01
Andre Ewell,1043.99
Ivan Salaverry,1043.88
Jaqueline Amorim,1043.8
Vitor Miranda,1043.71
Luis Pena,1043.54
Vinicius Oliveira,1043.45
Hector Lombard,1043.39
Khama Worthy,1043.34
Pete Williams,1043.2
Ian Freeman,1043.12
Max Griffin,1043.04
Yves Jabouin,1043.02
Patrick Cummins,1042.98
Antoni Hardonk,1042.97
Sara McMann,1042.95
Duane Ludwig,1042.78
Denise Gomes,1042.66
William Knight,1042.57
Lucas Martins,1042.51
Greg Hardy,1042.48
Sabina Mazo,1042.45
Julian Erosa,1042.42
Ivan Menjivar,1042.33
Andrew Craig,1042.32
Bas Rutten,1042.26
Saidyokub Kakhramonov,1042.24
Scott Ferrozzo,1042.21
Nick Osipczak,1042.16
Nina Nunes,1042.16
Ikram Aliskerov,1042.13
Luiz Cane,1042.12
Efrain Escudero,1042.06
Nora Cornolle,1041.96
TJ Waldburger,1041.95
Tomasz Drwal,1041.9
Jennifer Maia,1041.87
Daniel Roberts,1041.85
Houston Alexander,1041.79
Remco Pardoel,1041.78
Magomed Mustafaev,1041.75
Phil Rowe,1041.75
Herbert Burns,1041.71
Laureano Staropoli,1041.67
Uros Medic,1041.44
Daniel Omielanczuk,1041.4
Adlan Amagov,1041.25
George Sullivan,1041.2
Paul Buentello,1041.19
Eryk Anders,1041.14
Nursulton Ruziboev,1041.13
Hyun Gyu Lim,1041.11
Cat Zingano,1041.09
Guangyou Ning,1041.08
Kevin Burns,1040.99
Todd Duffee,1040.97
Trey Waters,1040.97
Gadzhimurad Antigulov,1040.91
Igor Araujo,1040.9
Russell Doane,1040.88
Terrance McKinney,1040.86
Armen Petrosyan,1040.86
Timur Valiev,1040.85
Viviane Pereira,1040.79
Jhonata Diniz,1040.79
Devin Clark,1040.62
Charles Jourdain,1040.61
Tony Gravely,1040.58
Andrew Sanchez,1040.54
Kevin Jousset,1040.45
Ottman Azaitar,1040.38
David Branch,1040.25
John Maguire,1040.25
Tom Lawlor,1040.13
Ramsey Nijem,1040.08
Brandon Thatch,1040.08
Soa Palelei,1040.06
Tsuyoshi Kohsaka,1040.05
Diego Rivas,1040.05
Nick Maximov,1040.05
Oumar Sy,1040.04
Joanne Wood,1040.01
Gerard Gordeau,1040.0
Dave Beneteau,1040.0
Paul Varelans,1040.0
Gary Goodridge,1040.0
Kevin Jackson,1040.0
Jess Liaudin,1040.0
Brian Bowles,1040.0
Erik Koch,1040.0
Johnny Bedford,1040.0
Daniel Pineda,1040.0
Michael Trizano,1040.0
Phillip Miller,1039.99
Brady Hiestand,1039.96
Steve Jennum,1039.93
Henrique da Silva,1039.93
Devonte Smith,1039.89
